x,y,z,id
0.03,-0.55,0.83,7
0.02,-0.38,0.8,7
0.01,0.97,1.5,8
-0.0,1.15,1.63,8
-0.03,1.05,1.96,8
-0.06,0.69,1.88,8
-0.08,-0.05,0.91,8
-0.03,-0.36,0.23,8
0.09,-1.25,-0.86,8
0.08,-1.87,-1.08,8
0.05,-2.84,-0.95,8
-0.01,-2.93,-0.71,8
-0.31,-2.14,-0.21,8
-0.53,-1.45,-0.07,8
-1.16,-0.08,0.15,8
-1.66,0.72,0.45,8
-2.81,2.92,2.04,8
-3.06,3.84,3.31,8
-1.79,4.0,4.0,8
-1.16,3.75,4.0,8
-2.01,1.37,2.51,8
-2.87,-0.01,0.83,8
-3.6,-2.48,-1.55,8
-2.94,-3.59,-2.04,8
-0.75,-4.0,-2.32,8
-0.28,-4.0,-2.19,8
-0.96,-2.25,-1.13,8
-1.55,-0.62,-0.33,8
-2.83,2.1,1.83,8
-1.96,3.46,4.0,8
-0.66,3.65,4.0,8
-0.09,2.5,3.55,8
-0.74,1.4,2.4,8
-1.37,-0.4,-0.01,8
-1.08,-1.0,-0.65,8
-0.19,-1.78,-1.17,8
0.11,-1.94,-1.22,8
0.29,-1.7,-0.66,8
0.19,-1.34,-0.02,8
-0.04,-0.53,1.24,8
-0.06,-0.13,1.69,8
0.11,0.52,2.21,8
0.21,0.75,2.21,8
0.26,0.86,1.65,8
0.24,0.7,1.24,8
0.21,0.13,0.77,8
0.21,-0.14,0.76,8
0.22,-0.46,0.84,8
0.24,-0.51,0.83,8
0.26,-0.43,0.74,8
0.26,-0.32,0.72,8
0.26,-0.05,0.83,8
0.26,0.06,0.96,8
0.26,0.13,1.18,8
0.25,0.11,1.21,8
0.24,0.04,1.09,8
0.25,-0.02,0.99,8
0.25,-0.11,0.91,8
0.25,-0.13,0.94,8
0.26,-0.11,0.97,8
0.26,-0.09,0.98,8
0.25,-0.08,0.98,8
0.25,-0.06,0.98,8
0.25,-0.05,0.97,8
0.24,-0.05,1.0,8
0.24,-0.05,1.01,8
0.24,-0.05,1.01,8
0.24,-0.05,0.99,8
0.24,-0.06,0.95,8
0.24,-0.07,0.95,8
0.24,-0.05,0.97,8
0.24,-0.04,0.98,8
0.25,-0.04,0.99,8
0.25,-0.05,0.99,8
0.25,-0.06,0.98,8
0.25,-0.05,0.98,8
0.25,-0.03,0.99,8
0.25,-0.01,0.99,8
0.24,0.0,1.0,8
0.24,0.0,1.0,8
0.23,-0.06,1.0,8
0.24,-0.13,1.0,8
0.24,-0.25,0.96,8
0.24,-0.29,0.93,8
0.25,-0.35,0.87,8
0.26,-0.34,0.85,8
0.27,-0.23,0.9,8
0.27,-0.16,0.96,8
0.28,-0.1,0.99,8
0.28,-0.1,0.97,8
0.25,0.01,0.99,8
0.24,0.2,1.0,8
0.26,0.17,0.93,8
0.24,-0.24,0.73,8
0.2,-0.44,0.67,8
0.17,-0.51,0.72,8
0.07,-0.45,0.92,8
-0.08,-0.42,1.53,8
-0.03,-0.35,1.71,8
0.09,-0.1,1.68,8
0.11,0.03,1.56,8
0.04,0.24,1.23,8
0.24,0.09,0.9,9
0.24,0.14,0.97,9
0.24,0.19,1.02,9
0.25,0.3,1.06,9
0.26,0.33,1.04,9
0.27,0.31,0.93,9
0.27,0.28,0.87,9
0.26,0.2,0.83,9
0.26,0.18,0.85,9
0.25,0.22,0.99,9
0.25,0.27,1.05,9
0.26,0.37,1.08,9
0.26,0.43,1.08,9
0.16,0.74,1.23,9
0.07,1.01,1.34,9
-0.05,1.62,1.36,9
0.05,1.85,1.02,9
0.1,1.59,0.77,9
-0.1,0.23,0.39,9
-0.51,-0.73,0.33,9
-1.58,-3.01,0.68,9
-1.59,-3.92,0.99,9
-0.83,-4.0,1.29,9
-0.71,-3.84,1.12,9
-1.85,-1.22,0.61,9
-2.85,0.58,0.53,9
-3.88,3.56,0.79,9
